task_id,parent_wp,milestone,title,depends_on,status,base_commit,candidate_commit,merged_commit,task_card,review_ref,evidence_ref,docs_ref
CP-032,WP14;WP23,P08,Repository locks maintenance and historical verification,CP-031,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-033,WP15;WP11,P09,Private restore and internal-writer suppression,CP-032,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-034,WP15;WP09,P09,Verified recovery promotion and revocation,CP-033,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-035,WP15;WP24,P09,Measured fresh-host recovery-path exercise,CP-034,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-036,WP21;WP10,P10,Deployment updates and acknowledged-write-safe rollback,CP-035,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-037,WP21;WP25,P10,TUF management update and retained-reader compatibility,CP-036,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-038,WP24;WP22,P10,Cancelled by fresh-install-only scope: Restricted legacy discovery and mapping,NONE,cancelled,UNSET,UNSET,UNSET,tasks/CP-038.md,UNSET,UNSET,records/DECISION_LOG.md#decision-log
CP-039,WP24;WP15;WP21,P10,Cancelled by fresh-install-only scope: Qualified single-site import and writer-fenced cutover,NONE,cancelled,UNSET,UNSET,UNSET,tasks/CP-039.md,UNSET,UNSET,records/DECISION_LOG.md#decision-log
CP-040,WP22;WP02,P11,Audit graph and full applicability closure,CP-037,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-041,WP22,P11,Remaining audit/doctor collectors and explicit probe integration,CP-040,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-042,WP22;WP02,P11,Cross-format evaluator exit and delivery closure,CP-041,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-043,WP22;WP03;WP25,P11,Private static HTML and accessibility qualification,CP-042,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-044,WP23;WP22,P11,Core history drift and evidence lifecycle closure,CP-043,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-045,WP23,P11,Independent HTTPS and authenticated heartbeat monitor,CP-044,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-046,WP23;WP22,P11,Independent email and Telegram delivery qualification,CP-045,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-047,WP22;WP23;WP24,P11,Integrated capacity and longer-running operational tests,CP-046;CP-035,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-048,WP25,P12,Release artifact and finite support matrix closure,CP-047;CP-037,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-049,WP25;WP24,P12,Unfamiliar-operator walkthrough and documentation closure,CP-048,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-050,WP24;WP25,P12,Clean release-test install upgrade and full acceptance matrix,CP-049;CP-027,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
CP-051,WP25,P12,Release readiness record and community handover,CP-050,planned,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET,UNSET
